베이컨체더치즈(나폴리M),176,465,0,24,0
베이컨체더치즈(씬 L),143,382,0,21,0
베이컨체더치즈(씬 M),147,437,0,22,0
베이컨체더치즈(슈퍼시드 함유 도우L),125,377,0,19,0
베이컨체더치즈(슈퍼시드 함유 도우M),113,307,0,14,0
베이컨체더치즈 더블치즈엣지(오리지널 L),129,355,0,17,0
베이컨체더치즈 더블치즈엣지(오리지널 M),135,364,0,18,0
불고기(오리지널 L),158,436,0,21,0
불고기(오리지널 M),121,291,0,15,0
불고기(나폴리L),129,319,0,16,0
불고기(나폴리M),177,421,0,2,0
불고기(씬 L),102,250,0,14,0
불고기(씬 M),162,394,0,22,0
불고기(슈퍼시드 함유 도우L),125,312,0,18,0
불고기(슈퍼시드 함유 도우M),121,301,0,15,0
불고기 더블치즈엣지(오리지널 L),134,342,0,16,0
불고기 더블치즈엣지(오리지널 M),139,350,0,18,0
블랙앵거스 스테이크(오리지널 L),158,405,0,21,0
블랙앵거스 스테이크(오리지널 M),126,307,0,14,0
블랙앵거스 스테이크(나폴리L),160,383,0,17,0
블랙앵거스 스테이크(나폴리M),103,248,0,12,0
블랙앵거스 스테이크(씬 L),121,296,0,14,0
블랙앵거스 스테이크(씬 M),169,459,0,20,0
블랙앵거스 스테이크(슈퍼시드 함유 도우L),103,266,0,12,0
블랙앵거스 스테이크(슈퍼시드 함유 도우M),126,301,0,14,0
블랙앵거스 스테이크 더블치즈엣지(오리지널 L),158,369,0,17,0
블랙앵거스 스테이크 더블치즈엣지(오리지널 M),156,388,0,19,0
블랙타이거 슈림프(오리지널 L),198,488,0,23,0
블랙타이거 슈림프(오리지널 M),123,288,0,13,0
블랙타이거 슈림프(나폴리M),191,453,0,20,0
블랙타이거 슈림프(나폴리L),159,358,0,18,0
블랙타이거 슈림프(씬 M),188,431,0,20,0
블랙타이거 슈림프(씬 L),125,308,0,14,0
블랙타이거 슈림프(슈퍼시드 함유 도우L),157,403,0,18,0
블랙타이거 슈림프 더블치즈엣지(오리지널 L),118,290,0,13,0
블랙타이거슈림프(슈퍼시드 함유 도우M),144,363,0,18,0
블랙타이거슈림프 더블치즈엣지(오리지널 M),193,468,0,21,0
슈퍼디럭스(오리지널 L),248,625,0,32,0
슈퍼디럭스(오리지널 M),134,307,0,17,0
슈퍼디럭스(나폴리L),150,386,0,19,0
슈퍼디럭스(나폴리M),107,251,0,12,0
슈퍼디럭스(씬 L),118,282,0,15,0
슈퍼디럭스(씬 M),186,450,0,24,0
슈퍼디럭스(슈퍼시드 함유 도우L),155,393,0,20,0
슈퍼디럭스(슈퍼시드 함유 도우M),133,332,0,14,0
슈퍼디럭스 더블치즈엣지(오리지널 L),149,373,0,16,0
슈퍼디럭스 더블치즈엣지(오리지널 M),159,359,0,19,0
슈퍼슈프림(오리지널 L),188,452,0,24,0
슈퍼슈프림(오리지널 M),151,321,0,17,0
슈퍼슈프림(나폴리L),168,366,0,20,0
슈퍼슈프림(나폴리M),123,246,0,14,0
슈퍼슈프림(씬 L),139,291,0,16,0
슈퍼슈프림(씬 M),111,236,0,13,0
슈퍼슈프림(슈퍼시드 함유 도우L),120,251,0,15,0
슈퍼슈프림(슈퍼시드 함유 도우M),146,335,0,15,0
슈퍼슈프림 더블치즈엣지(오리지널 L),165,385,0,19,0
슈퍼슈프림 더블치즈엣지(오리지널 M),172,374,0,21,0
와규 앤 비스테카(오리지널 L),193,433,0,24,0
와규 앤 비스테카(오리지널 M),130,305,0,14,0
와규 앤 비스테카(나폴리L),154,377,0,16,0
와규 앤 비스테카(나폴리M),107,247,0,16,0
와규 앤 비스테카(씬 L),130,306,0,18,0
와규 앤 비스테카(씬 M),179,477,0,23,0
와규 앤 비스테카(슈퍼시드 함유 도우L),104,262,0,12,0
와규 앤 비스테카(슈퍼시드 함유 도우M),131,306,0,13,0
와규 앤 비스테카 더블치즈엣지(오리지널 L),156,354,0,16,0
와규 앤 비스테카 더블치즈엣지(오리지널 M),163,388,0,19,0
우리 고구마(오리지널 L),198,484,0,25,0
우리 고구마(오리지널 M),128,321,0,13,0
우리 고구마(나폴리L),157,372,0,15,0
우리 고구마(나폴리M),107,273,0,11,0
우리 고구마(씬 L),134,311,0,12,0
우리 고구마(씬 M),175,482,0,19,0
우리 고구마(슈퍼시드 함유 도우L),109,277,0,10,0
우리 고구마(슈퍼시드 함유 도우M),130,338,0,13,0
우리 고구마 더블치즈엣지(오리지널 L),166,399,0,15,0
우리 고구마 더블치즈엣지(오리지널 M),156,399,0,18,0
직화 스테이크(오리지널 L),193,482,0,22,0
직화 스테이크(오리지널 M),126,304,0,14,0
직화 스테이크(나폴리L),160,370,0,20,0
직화 스테이크(나폴리M),100,240,0,12,0
직화 스테이크(씬 L),134,314,0,16,0
직화 스테이크(씬 M),162,444,0,20,0
직화 스테이크(슈퍼시드 함유 도우L),110,308,0,14,0
직화 스테이크(슈퍼시드 함유 도우M),124,308,0,14,0
직화 스테이크 더블치즈엣지(오리지널 M),162,406,0,18,0
직화 스테이크 더블치즈엣지(오리지널 L),194,480,0,24,0
치즈(오리지널 L),151,364,0,20,0
치즈(오리지널 M),191,466,0,24,0
치즈(나폴리L),112,285,0,15,0
치즈(나폴리M),136,352,0,19,0
치즈(씬 L),116,305,0,18,0
치즈(씬 M),110,314,0,17,0
치즈(슈퍼시드 함유 도우L),124,374,0,20,0
치즈(슈퍼시드 함유 도우M),191,491,0,24,0
치즈 더블치즈엣지(오리지널 L),112,292,0,14,0
치즈가든(오리지널 L),243,601,0,29,0
치즈가든(오리지널 M),109,250,0,10,0
치즈가든(나폴리L),132,287,0,14,0
치즈가든(나폴리M),171,363,0,16,0
치즈가든(씬 L),100,209,0,9,0
치즈가든(씬 M),137,303,0,12,0
치즈가든(슈퍼시드 함유 도우L),114,249,0,10,0
치즈가든(슈퍼시드 함유 도우M),109,245,0,11,0
치즈가든 더블치즈엣지(오리지널 L),129,296,0,11,0
치즈가든 더블치즈엣지(오리지널 M),138,316,0,15,0
치즈피자 더블치즈엣지(오리지널 M),168,380,0,19,0
페퍼로니(오리지널 L),145,397,0,20,0
페퍼로니(오리지널 M),102,271,0,14,0
페퍼로니(나폴리L),118,327,0,16,0
페퍼로니(나폴리M),148,426,0,24,0
페퍼로니(씬 L),127,384,0,20,0
페퍼로니(씬 M),131,386,0,22,0
페퍼로니(슈퍼시드 함유 도우L),109,336,0,18,0
페퍼로니(슈퍼시드 함유 도우M),105,283,0,14,0
페퍼로니 더블치즈엣지(오리지널 L),124,341,0,16,0
페퍼로니 더블치즈엣지(오리지널 M),124,341,0,16,0
포테이토(오리지널 L),147,403,0,20,0
포테이토(오리지널 M),139,322,0,15,0
포테이토(나폴리L),149,352,0,16,0
포테이토(나폴리M),115,260,0,15,0
포테이토(씬 L),122,292,0,16,0
포테이토(씬 M),103,224,0,12,0
포테이토(슈퍼시드 함유 도우L),109,243,0,12,0
포테이토(슈퍼시드 함유 도우M),139,317,0,15,0
포테이토 더블치즈엣지(오리지널 L),150,350,0,16,0
포테이토 더블치즈엣지(오리지널 M),154,362,0,18,0
핫치킨(오리지널 L),174,422,0,21,0
핫치킨(오리지널 M),119,287,0,13,0
핫치킨(나폴리L),144,346,0,15,0
핫치킨(나폴리M),188,466,0,22,0
핫치킨(씬 L),114,274,0,14,0
핫치킨(씬 M),152,410,0,20,0
핫치킨(슈퍼시드 함유 도우L),132,323,0,15,0
핫치킨(슈퍼시드 함유 도우M),119,297,0,13,0
핫치킨 더블치즈엣지(오리지널 L),146,361,0,16,0
핫치킨 더블치즈엣지(오리지널 M),143,356,0,18,0
먹물 오징어링,182,441,0,22,0
슈퍼곡물 치킨(10조각),105,650,0,17,0
